0	0	0	0	1	0.0363939889148104
0	0	0.0669746632208289	0.0551446708323585	0.047245473175	0.0363939889148104
0	0	0.059865693	0.054829676	0.04163129475	0.036628250804425
0.55	0.007512917	0.395190268	0.086961559	0.3092859675	0.0462572150963453
1,04	0.014206242	0.511817173	0.011402624	0.4103354	0.0587141429330776
2,52	0.034422818	0.752990987	0.046681054	0.603797445	0.014482653175268
5,04	0.068845636	0.872539285	0.026049693	0.7109606075	0.0295321938190753
10,07	0.137554674	0.942103999	0.030357297	0.76381394	0.0276492112299609
20,03	0.273606764	0.98058048	0.012730136	0.7982654475	0.0430596987584078
35,8	0.489022574	0.977998641	0.011939588	0.7979832725	0.0536671236737398
53,7	0.733533861	0.997845302	0.003732047	0.815018925	0.0500984577284275
71,6	0.978045148	0.985674848	0.012408674	0.80370385	0.055460304431333

